Código;Nome;Turma;Ano-Período;Docente;Horário;Qtde Vagas Ofertadas;Qtde Vagas Ocupadas;Local
CIC0132;ESTUDOS EM SISTEMAS DE COMPUTACAO;C;2021.1;CARLA MARIA CHAGAS E CAVALCANTE KOIKE (60h);35M5 35T1;3;1;A DEFINIR
CIC0004;ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES;DD;2021.1;GIOVANNI ALMEIDA SANTOS (90h);2M34 46T23;80;52;REMOTO FGA
CIC0198;TECNICAS DE PROGRAMAÇÃO 2;A;2021.1;RODRIGO BONIFACIO DE ALMEIDA (60h);35M12;50;34;REMOTO
CIC0166;TRABALHO DE GRADUAÇÃO 1;ME;2021.1;MARIA EMILIA MACHADO TELLES WALTER (30h);7N34;5;1;REMOTO
CIC0176;INTRODUCAO AO PROCESSAMENTO DE IMAGENS;A;2021.1;BRUNO LUIGGI MACCHIAVELLO ESPINOZA (60h);24T45;40;25;REMOTO
CIC0155;TEORIA E PRATICA PEDAGOGICA EM INFORMATICA 1;A;2021.1;MARIA DE FATIMA RAMOS BRANDAO (90h);2M5 2T1 4N34 6N12;40;8;REMOTO
CIC0199;TEORIA E APLICAÇÃO DE GRAFOS;A;2021.1;DIBIO LEANDRO BORGES (60h);35M34;40;27;REMOTO
CIC0353;PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 1;79;2021.1;ROBERTA BARBOSA OLIVEIRA (30h);7M34;2;1;a definir
CIC0356;PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 2;AR;2021.1;ADSON FERREIRA DA ROCHA (90h);2M5 3M5 4M5 2T1 3T1 4T1;2;1;a definir
CIC0353;PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 1;EC02;2021.1;EDNA DIAS CANEDO (30h);2M5 2T1;5;1;a definir
CIC0218;SUPRVISÃO DE ESTÁGIO EM LICENCIATURA EM COMPUTAÇÃO 1;A;2021.1;MARIA DE FATIMA RAMOS BRANDAO (30h);6N12;6;6;a definir
CIC0209;SUPERVISÃO DE PRODUÇÃO DE MATERIAL DIDÁTICO;A;2021.1;GERMANA MENEZES DA NOBREGA (30h);4N34;50;19;REMOTO
CIC0132;ESTUDOS EM SISTEMAS DE COMPUTACAO;G;2021.1;GENAINA NUNES RODRIGUES (60h);2M5 4M5 2T1 4T1;3;1;A DEFINIR
CIC0224;PROJETO DE PESQUISA NA LICENCIATURA EM COMPUTAÇÃO;A;2021.1;MARIA DE FATIMA RAMOS BRANDAO (30h);2M5 2T1;8;3;a definir
CIC0166;TRABALHO DE GRADUAÇÃO 1;GM;2021.1;GERMANA MENEZES DA NOBREGA (30h);6M12;10;1;REMOTO
CIC0007;INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO;I;2021.1;ROBERTA BARBOSA OLIVEIRA (60h);3N12 4N34;30;26;REMOTO
CIC0167;TRABALHO DE GRADUAÇÃO 2;GN;2021.1;GERMANA MENEZES DA NOBREGA (60h);3456T6;5;4;REMOTO
CIC0004;ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES;B;2021.1;GUILHERME NOVAES RAMOS (60h);235M12;47;29;REMOTO
CIC0116;ESTUDOS EM COMPUTACAO MULTIMIDIA;W;2021.1;WILSON HENRIQUE VENEZIANO (60h);2M5 4M5 2T1 4T1;3;1;a definir
CIC0231;LABORATÓRIO DE CIRCUITOS LÓGICOS;C;2021.1;MARCELO GRANDI MANDELLI (1h);6M34;25;22;Remota
CIC0166;TRABALHO DE GRADUAÇÃO 1;RR;2021.1;ROBERTA BARBOSA OLIVEIRA (30h);7M12;5;2;REMOTO
CIC0004;ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES;B;2021.1;LUCAS RODRIGUES COSTA (30h);235M12;47;29;REMOTO
CIC0166;TRABALHO DE GRADUAÇÃO 1;D;2021.1;GENAINA NUNES RODRIGUES (30h);3M5 3T1;6;1;A DEFINIR
CIC0223;PRODUÇÃO CIENTIFICA NA LICENCIATURA EM COMPUTAÇÃO;06;2021.1;CELIA GHEDINI RALHA (30h);56T6;3;1;a definir
CIC0167;TRABALHO DE GRADUAÇÃO 2;CC;2021.1;CARLA DENISE CASTANHO (60h);2M12 4M12;5;2;a definir
CIC0353;PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 1;CK01;2021.1;CARLA MARIA CHAGAS E CAVALCANTE KOIKE (30h);7M12;1;1;a definir
